Time,Observed Change,Annual Change,Uniform Annual Change,Uniform Change,Hypothesized Error,Commission Intensity,Omission Intensity
1992_1993,0,0,0.75681543350219727,0.75681543350219727,0.75681543350219727,0,100
1993_1994,2.1127266518305987E-4,2.1127266518305987E-4,0.75681543350219727,0.75681543350219727,0.75660413503646851,0,99.972084045410156
1994_1995,0.66910052299499512,0.66910052299499512,0.75681543350219727,0.75681543350219727,8.7714910507202148E-2,0,11.590000152587891
1995_1996,0.18232831358909607,0.18232831358909607,0.75681543350219727,0.75681543350219727,0.57448709011077881,0,75.908485412597656
1996_1997,0.33697989583015442,0.33697989583015442,0.75681543350219727,0.75681543350219727,0.41983553767204285,0,55.473964691162109
1997_1998,1.5731362104415894,1.5731362104415894,0.75681543350219727,0.75681543350219727,0.81632077693939209,51.89129638671875,0
1998_1999,1.1738308668136597,1.1738308668136597,0.75681543350219727,0.75681543350219727,0.4170154333114624,35.526023864746094,0
1999_2000,2.7708408832550049,2.7708408832550049,0.75681543350219727,0.75681543350219727,2.0140254497528076,72.686431884765625,0
2000_2001,2.3138582706451416,2.3138582706451416,0.75681543350219727,0.75681543350219727,1.5570428371429443,67.292060852050781,0
2001_2002,3.2476832866668701,3.2476832866668701,0.75681543350219727,0.75681543350219727,2.4908678531646729,76.696762084960938,0
2002_2003,0.35472679138183594,0.35472679138183594,0.75681543350219727,0.75681543350219727,0.40208864212036133,0,53.129020690917969
2003_2004,2.7911231517791748,2.7911231517791748,0.75681543350219727,0.75681543350219727,2.0343077182769775,72.884910583496094,0
2004_2005,0.19880758225917816,0.19880758225917816,0.75681543350219727,0.75681543350219727,0.55800783634185791,0,73.731033325195312
2005_2006,9.8453059792518616E-2,9.8453059792518616E-2,0.75681543350219727,0.75681543350219727,0.65836238861083984,0,86.991142272949219
2006_2007,0.21275156736373901,0.21275156736373901,0.75681543350219727,0.75681543350219727,0.54406386613845825,0,71.888580322265625
2007_2008,0.17514504492282867,0.17514504492282867,0.75681543350219727,0.75681543350219727,0.58167040348052979,0,76.857627868652344
2008_2009,0.22035738825798035,0.22035738825798035,0.75681543350219727,0.75681543350219727,0.53645801544189453,0,70.883598327636719
2009_2010,0.32916280627250671,0.32916280627250671,0.75681543350219727,0.75681543350219727,0.42765262722969055,0,56.506858825683594
2010_2011,0.27402064204216003,0.27402064204216003,0.75681543350219727,0.75681543350219727,0.48279479146003723,0,63.792938232421875
2011_2012,9.8241791129112244E-2,9.8241791129112244E-2,0.75681543350219727,0.75681543350219727,0.65857362747192383,0,87.019058227539062
2012_2013,0.12908759713172913,0.12908759713172913,0.75681543350219727,0.75681543350219727,0.62772786617279053,0,82.943321228027344
2013_2014,0.25669628381729126,0.25669628381729126,0.75681543350219727,0.75681543350219727,0.50011914968490601,0,66.082046508789062
2014_2015,2.1127266518305987E-4,2.1127266518305987E-4,0.75681543350219727,0.75681543350219727,0.75660413503646851,0,99.972084045410156
