"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,154,"MMR","Myanmar",1,"Ayeyarwady","MM.AY",NA,"","Yin","Division","","Irrawaddy|Ayeyarwaddy|Ayeyawady|Irawadi|Irraouaddi|Irrauaddy"
2,154,"MMR","Myanmar",2,"Bago","MM.BA",NA,"","Yin","Division","","Pégou|Pegu"
3,154,"MMR","Myanmar",3,"Chin","MM.CH",NA,"","Pyine","State","","Chin Hills"
4,154,"MMR","Myanmar",4,"Kachin","MM.KC",NA,"","Pyine","State","","Jingphaw Mungdaw"
5,154,"MMR","Myanmar",5,"Kayah","MM.KH",NA,"","Pyine","State","","Karenni"
6,154,"MMR","Myanmar",6,"Kayin","MM.KN",NA,"","Pyine","State","","Kawthulei|Karen|Karin|Kawthoolei|Kawthulay"
7,154,"MMR","Myanmar",7,"Magway","MM.MG",NA,"","Yin","Division","","Magwe|Minbu"
8,154,"MMR","Myanmar",8,"Mandalay","MM.MD",NA,"","Yin","Division","",""
9,154,"MMR","Myanmar",9,"Mon","MM.MO",NA,"","Pyine","State","","Mun"
10,154,"MMR","Myanmar",10,"Naypyitaw","MM.NY",NA,"","Union territory","Union territory","","Naypyidaw|Nay Pyi Taw"
11,154,"MMR","Myanmar",11,"Rakhine","MM.RA",NA,"","Pyine","State","","Arakan"
12,154,"MMR","Myanmar",12,"Sagaing","MM.SA",NA,"","Yin","Division","",""
13,154,"MMR","Myanmar",13,"Shan","MM.SH",NA,"","Pyine","State","",""
14,154,"MMR","Myanmar",14,"Tanintharyi","MM.TN",NA,"","Yin","Division","","Tenasserim|Thanintharyi"
15,154,"MMR","Myanmar",15,"Yangon","MM.YA",NA,"","Yin","Division","","Rangoon|Rangum|Rangun|Rang£n"
