"","Bare Ground","Built-up Area","Forest","Mangrove","Oil Palm","Rice Paddy","Rubber","Shrub/Orchard","Water Body"
"Bare Ground",810,8,42,300,58,1469,8,6,3538
"Built-up Area",28,251,3,159,17,598,16,18,70
"Forest",69,1,1341255,180,10827,7658,53140,9388,367
"Mangrove",104,5,1126,124560,9905,7023,1737,273,4170
"Oil Palm",43,1,5153,405,62268,5593,30098,469,238
"Rice Paddy",626,47,4008,2195,7694,66766,13144,1033,450
"Rubber",2,0,2920,65,12510,2719,37211,136,31
"Shrub/Orchard",18,0,14047,44,8556,4046,8345,2905,33
"Water Body",42,1,1508,79,120,177,5,0,13008
