From*, To*, Rate, 
1, 2, 0.0297855440826052, 
1, 3, 0.00079428117553614, 
1, 4, 0.171961874503574, 
1, 5, 0.00833995234312947, 
1, 6, 0.206115965051628, 
1, 8, 0.00158856235107228, 
1, 9, 0.0655281969817315, 
2, 1, 0.0202898550724638, 
2, 4, 0.191304347826087, 
2, 5, 0.0173913043478261, 
2, 6, 0.243478260869565, 
2, 7, 0.00289855072463768, 
2, 8, 0.00289855072463768, 
2, 9, 0.0115942028985507, 
3, 1, 7.20077663649105e-05, 
3, 2, 1.44015532729821e-05, 
3, 4, 0.00115605195818574, 
3, 5, 0.0384037056505803, 
3, 6, 0.0101760066194776, 
3, 7, 0.021402672011825, 
3, 8, 0.0171529045641795, 
3, 9, 0.000900097079561381, 
4, 1, 0.00240347098667166, 
4, 2, 0.00204971335226977, 
4, 3, 0.0347931038070564, 
4, 5, 0.122764303773762, 
4, 6, 0.0552226071937655, 
4, 7, 0.0295283578362518, 
4, 8, 0.0205231451134626, 
4, 9, 0.00218497362424696, 
5, 1, 0.000492271339962587, 
5, 2, 0.000295362803977552, 
5, 3, 0.288471005218076, 
5, 4, 0.0210692133503987, 
5, 6, 0.0193954907945259, 
5, 7, 0.0637491385251551, 
5, 8, 0.00502116766761839, 
5, 9, 0.000689179875947622, 
6, 1, 0.0193389321211187, 
6, 2, 0.00440455094126409, 
6, 3, 0.0327195212779618, 
6, 4, 0.0431851452346098, 
6, 5, 0.0425173999024065, 
6, 7, 0.0328992988674012, 
6, 8, 0.0249248786501271, 
6, 9, 0.00328736163546241, 
7, 1, 0.000331345261762757, 
7, 3, 0.327576209410205, 
7, 4, 0.00314777998674619, 
7, 5, 0.157720344599072, 
7, 6, 0.0690854870775348, 
7, 8, 0.025844930417495, 
7, 9, 8.28363154406892e-05, 
8, 1, 0.00138363930885529, 
8, 2, 0.00600701943844492, 
8, 3, 0.422144978401728, 
8, 4, 0.00833558315334773, 
8, 5, 0.0939524838012959, 
8, 6, 0.177038336933045, 
8, 7, 0.111231101511879, 
8, 9, 0.000202483801295896, 
9, 1, 0.156221470382901, 
9, 2, 0.00161108425970678, 
9, 3, 0.0244884807475431, 
9, 4, 0.104398260029, 
9, 5, 0.0100961280274958, 
9, 6, 0.0204070672896192, 
9, 7, 0.000644433703882713, 
9, 8, 0.000429622469255142, 
